nama pemeriksaan,nama awam,katerogi,Harga
PHLEBOGRAPHY RISET,Phlebography Riset,,5336000
X-RAY BNO + IVP,Foto rontgen ginjal dan saluran kemih (untuk melihat kondisi tulang dan organ terkait),,2490000
X-RAY COR ANALYSE,Foto rontgen cor analyse (untuk melihat kondisi tulang dan organ terkait),,854000
X-RAY PYELOGRAPHY IV,Foto rontgen pyelography iv (untuk melihat kondisi tulang dan organ terkait),,2684000
X-RAY RETROGADE PYELOGRAPHY,Foto rontgen retrogade pyelography (untuk melihat kondisi tulang dan organ terkait),,2338000
X-RAY T. TUBE CHOLECYSTOGRAPHY,Foto rontgen t. tube cholecystography (untuk melihat kondisi tulang dan organ terkait),,2095000
X-RAY URETHROGRAPHY,Foto rontgen urethrography (untuk melihat kondisi tulang dan organ terkait),,2572000
X-RAY APPENDICOGRAM,Foto rontgen appendicogram (untuk melihat kondisi tulang dan organ terkait),,2125000
X-RAY ARTHROGRAPHY,Foto rontgen arthrography (untuk melihat kondisi tulang dan organ terkait),,2185000
X-RAY BNO + CYSTOGRAFI,"Foto rontgen ginjal, ureter, dan kandung kemih (untuk melihat kondisi tulang dan organ terkait)",,2572000
X-RAY COLON IN LOOP,Foto rontgen colon in loop (untuk melihat kondisi tulang dan organ terkait),,2827000
X-RAY COLON REPOSITION,Foto rontgen colon reposition (untuk melihat kondisi tulang dan organ terkait),,4076000
X-RAY ESOPHAGUS,Foto rontgen esophagus (untuk melihat kondisi tulang dan organ terkait),,1963000
X-RAY FISTULOGRAPHY,Foto rontgen fistulography (untuk melihat kondisi tulang dan organ terkait),,2623000
X-RAY FOLLOW THROUGH,Foto rontgen follow through (untuk melihat kondisi tulang dan organ terkait),,2268000
X-RAY H.S.G. (HYSTEROSALPHYNGOGRAPHY),Foto rontgen h.s.g. (hysterosalphyngography) (untuk melihat kondisi tulang dan organ terkait),,3670000
X-RAY M.C.U. (MICTURATING CYSTOGRAPHY),Foto rontgen m.c.u. (micturating cystography) (untuk melihat kondisi tulang dan organ terkait),,2684000
X-RAY MD (MAAG DUODENUM),Foto rontgen md (maag duodenum) (untuk melihat kondisi tulang dan organ terkait),,2044000
X-RAY MYELOGRAPHY,Foto rontgen myelography (untuk melihat kondisi tulang dan organ terkait),,3060000
X-RAY O.M.D. (OESOPHAGUS MAAG DUODENUM),Foto rontgen o.m.d. (oesophagus maag duodenum) (untuk melihat kondisi tulang dan organ terkait),,2755000
X-RAY PHLEBOGRAPHY (1 SIDE),Foto rontgen phlebography (1 side) (untuk melihat kondisi tulang dan organ terkait),,5622000
X-RAY PHLEBOGRAPHY (2 SIDE),Foto rontgen phlebography (2 side) (untuk melihat kondisi tulang dan organ terkait),,7685000
X-RAY RETROGRADE URETHROCYSTOGRAPHY,Foto rontgen retrograde urethrocystography (untuk melihat kondisi tulang dan organ terkait),,2450000
X-RAY SIALOGRAPHY,Foto rontgen sialography (untuk melihat kondisi tulang dan organ terkait),,2226000
VERT. THORACALIS AP+LAT,Vert. Thoracalis Ap+Lat,,672000
VERT. THORACOLUMBALIS  AP+LAT,Vert. Thoracolumbalis  Ap+Lat,,711000
SINAR TEMBUS (TV GUIDANCE),Sinar Tembus (Tv Guidance),,651000
S.I. JOINT (FERGUSON) BILATERAL,S.I. Joint (Ferguson) Bilateral,,1291000
X-RAY ABDOMEN 2 POSITION,Foto rontgen perut (untuk melihat kondisi tulang dan organ terkait),,1312000
X-RAY ABDOMEN 3 POSITION,Foto rontgen perut (untuk melihat kondisi tulang dan organ terkait),,1281000
X-RAY ABDOMEN AP (BNO),Foto rontgen perut (untuk melihat kondisi tulang dan organ terkait),,376000
X-RAY ANKLE,Foto rontgen ankle (untuk melihat kondisi tulang dan organ terkait),,508000
X-RAY ANKLE BILATERAL,Foto rontgen ankle bilateral (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY ANTEBRACHI,Foto rontgen antebrachi (untuk melihat kondisi tulang dan organ terkait),,610000
X-RAY ANTEBRACHI BILATERAL,Foto rontgen antebrachi bilateral (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY ATRESIA ANI (2 POSISI),Foto rontgen atresia ani (2 posisi) (untuk melihat kondisi tulang dan organ terkait),,549000
X-RAY BABYGRAM,Foto rontgen babygram (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY BONE AGE,Foto rontgen bone age (untuk melihat kondisi tulang dan organ terkait),,448000
X-RAY BONE SURVEY,Foto rontgen bone survey (untuk melihat kondisi tulang dan organ terkait),,3090000
X-RAY CALCANEUS BIILATERAL,Foto rontgen calcaneus biilateral (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY CALCANEUS UNILATERAL,Foto rontgen calcaneus unilateral (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY CARPAL TUNNEL PROJECTION,Foto rontgen carpal tunnel projection (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY CERVICALIS AP + LAT + OBL,Foto rontgen leher (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY CERVICALIS AP + LATERAL,Foto rontgen leher (untuk melihat kondisi tulang dan organ terkait),,711000
X-RAY CERVICALIS DYNAMIC LATERAL,Foto rontgen leher (untuk melihat kondisi tulang dan organ terkait),,711000
